song_id,track_href,genre,song_name
0SbKWYPENsANEIIgnCK45e,https://api.spotify.com/v1/tracks/0SbKWYPENsANEIIgnCK45e,Dark Trap,Grain
1k31A67B0r2PDytoPR283x,https://api.spotify.com/v1/tracks/1k31A67B0r2PDytoPR283x,Dark Trap,"Beware, the Sirens"
7vNYfMAh3bvHGmRxve1YAg,https://api.spotify.com/v1/tracks/7vNYfMAh3bvHGmRxve1YAg,Dark Trap,Kali Yuga
4Ao4XHlqBTKsCil8R6e8fD,https://api.spotify.com/v1/tracks/4Ao4XHlqBTKsCil8R6e8fD,Dark Trap,Hexada
6rF4PCqJq0p4MAWgecwfIl,https://api.spotify.com/v1/tracks/6rF4PCqJq0p4MAWgecwfIl,Dark Trap,Caligula
0K1fOHUHEsv1lnq2yU1VG5,https://api.spotify.com/v1/tracks/0K1fOHUHEsv1lnq2yU1VG5,Dark Trap,Niagara (feat. Lil Peep)
5dBP9gDiDlsXiitxvB4HGb,https://api.spotify.com/v1/tracks/5dBP9gDiDlsXiitxvB4HGb,Dark Trap,Scrying Through Shattered Glass
0kHEr6iF9m7mrkTjv9pbZ6,https://api.spotify.com/v1/tracks/0kHEr6iF9m7mrkTjv9pbZ6,Dark Trap,Polaris
5twSsmNWVzQ5VNA6GzwtHn,https://api.spotify.com/v1/tracks/5twSsmNWVzQ5VNA6GzwtHn,Dark Trap,Rapture
7lnCmYYscC0mijoPe3Blx8,https://api.spotify.com/v1/tracks/7lnCmYYscC0mijoPe3Blx8,Dark Trap,Blackmage
4Qwnjgav8p1B2F1EgcMQRW,https://api.spotify.com/v1/tracks/4Qwnjgav8p1B2F1EgcMQRW,Dark Trap,Tartarus
73IDzojzHitmvwVovPG7V2,https://api.spotify.com/v1/tracks/73IDzojzHitmvwVovPG7V2,Dark Trap,Until the Light Takes Us
0FP2R9giDksk3a1GUQLfOz,https://api.spotify.com/v1/tracks/0FP2R9giDksk3a1GUQLfOz,Dark Trap,As Above so Look out Below
1PeIKwD4ifLR2jYWCsUgnX,https://api.spotify.com/v1/tracks/1PeIKwD4ifLR2jYWCsUgnX,Dark Trap,Swan
0efgEM1LQDbK43rqPH2Iyd,https://api.spotify.com/v1/tracks/0efgEM1LQDbK43rqPH2Iyd,Dark Trap,Sneak Diss (feat. So6ix)
3lTAwJ7GAsm6mFkRejOXIm,https://api.spotify.com/v1/tracks/3lTAwJ7GAsm6mFkRejOXIm,Dark Trap,Plague Doctor Mask
2U03OmZKC7YIPkYBgJnJfA,https://api.spotify.com/v1/tracks/2U03OmZKC7YIPkYBgJnJfA,Dark Trap,Some of Us May Never See the World
3jnTBMdckWNzC7PJV96kQ1,https://api.spotify.com/v1/tracks/3jnTBMdckWNzC7PJV96kQ1,Dark Trap,Filth
164uPGiUKnYHwJOHcgfy1e,https://api.spotify.com/v1/tracks/164uPGiUKnYHwJOHcgfy1e,Dark Trap,Homecoming
1j82fFDqVM2Sgb8tfMidBv,https://api.spotify.com/v1/tracks/1j82fFDqVM2Sgb8tfMidBv,Dark Trap,Blood
05ConZJSdJrCGeurdurJ7m,https://api.spotify.com/v1/tracks/05ConZJSdJrCGeurdurJ7m,Dark Trap,Sweat
6dCuGVBOQmVNEbRIDEUHy0,https://api.spotify.com/v1/tracks/6dCuGVBOQmVNEbRIDEUHy0,Dark Trap,Tears
0vWwLLUSleBmyBGmL5GbLv,https://api.spotify.com/v1/tracks/0vWwLLUSleBmyBGmL5GbLv,Dark Trap,Anabolic
2JUs4EVimq0ShpPeIgeokl,https://api.spotify.com/v1/tracks/2JUs4EVimq0ShpPeIgeokl,Dark Trap,HDMI
1LpFxoC3TDeUSjU2qp3Iu1,https://api.spotify.com/v1/tracks/1LpFxoC3TDeUSjU2qp3Iu1,Dark Trap,Dirt
3MAfAtD9lKvugbWzaz21LS,https://api.spotify.com/v1/tracks/3MAfAtD9lKvugbWzaz21LS,Dark Trap,Oxygen
63biRmMYSLjClGv5arakyn,https://api.spotify.com/v1/tracks/63biRmMYSLjClGv5arakyn,Dark Trap,Branches
5m5aCXvh8q8fBNcGzneWQt,https://api.spotify.com/v1/tracks/5m5aCXvh8q8fBNcGzneWQt,Dark Trap,CtrlAltDelete
6YhDanPMUpBxzIOB8jlgOG,https://api.spotify.com/v1/tracks/6YhDanPMUpBxzIOB8jlgOG,Dark Trap,BlastZone (ЗонаПоражения)
37fcOImXwKOFOUwKYud0W0,https://api.spotify.com/v1/tracks/37fcOImXwKOFOUwKYud0W0,Dark Trap,CharacterSelect (ВыборПерсонажа)
12WAcEcT03Hkvdwb343fcU,https://api.spotify.com/v1/tracks/12WAcEcT03Hkvdwb343fcU,Dark Trap,RestInPeace (Prod. by The Virus And Antidote)
4Ms7qEi3z5qNjpD41OWHhf,https://api.spotify.com/v1/tracks/4Ms7qEi3z5qNjpD41OWHhf,Dark Trap,BlackMold
3sRfyb4OsHeKhN9yMmXdPz,https://api.spotify.com/v1/tracks/3sRfyb4OsHeKhN9yMmXdPz,Dark Trap,Toxin
6IBsaKAy1kDhsqDK9niOht,https://api.spotify.com/v1/tracks/6IBsaKAy1kDhsqDK9niOht,Dark Trap,Electric
0zltCbKuXQlZi0DHEli83W,https://api.spotify.com/v1/tracks/0zltCbKuXQlZi0DHEli83W,Dark Trap,Cranium
4a9j7bIg4BT9J87pQT7b8j,https://api.spotify.com/v1/tracks/4a9j7bIg4BT9J87pQT7b8j,Dark Trap,Friday
1RlZcBrZ2215I0RIS5ElT0,https://api.spotify.com/v1/tracks/1RlZcBrZ2215I0RIS5ElT0,Dark Trap,Hooky
7EuMuKPHTUKw97m0KJHbtx,https://api.spotify.com/v1/tracks/7EuMuKPHTUKw97m0KJHbtx,Dark Trap,Kalaxian Crystals
69m28mCqbgVcDI8GEkUzWw,https://api.spotify.com/v1/tracks/69m28mCqbgVcDI8GEkUzWw,Dark Trap,Slurp
0yOvaZL3DVgvYjzYKfilSF,https://api.spotify.com/v1/tracks/0yOvaZL3DVgvYjzYKfilSF,Dark Trap,BROKE ft. Prohibeo
33wSeazReUjdpjlpG2O7gI,https://api.spotify.com/v1/tracks/33wSeazReUjdpjlpG2O7gI,Dark Trap,Lies
6NGpZZYR8pzj7jo6oc2icJ,https://api.spotify.com/v1/tracks/6NGpZZYR8pzj7jo6oc2icJ,Dark Trap,Terry McGinnis
3YmPKPB5B6bfCZYgF0wmiq,https://api.spotify.com/v1/tracks/3YmPKPB5B6bfCZYgF0wmiq,Dark Trap,Gremlin
7l6Wb98Dnxb5n1ufADNHLa,https://api.spotify.com/v1/tracks/7l6Wb98Dnxb5n1ufADNHLa,Dark Trap,Giant Squit
1ojp0kfnXyRvr5cemuU0qD,https://api.spotify.com/v1/tracks/1ojp0kfnXyRvr5cemuU0qD,Dark Trap,You Are Not Like Us
01gihn8zKrwsafKnD3UGDz,https://api.spotify.com/v1/tracks/01gihn8zKrwsafKnD3UGDz,Dark Trap,Arachnids
5WY9OTNkgX1Sd1WluZL77F,https://api.spotify.com/v1/tracks/5WY9OTNkgX1Sd1WluZL77F,Dark Trap,Give Ah Fuck
6xPjbdiUqIqM3uD1B0JA1o,https://api.spotify.com/v1/tracks/6xPjbdiUqIqM3uD1B0JA1o,Dark Trap,Death Wish
5X5Kd4ULRLE5Rd7p8tmahp,https://api.spotify.com/v1/tracks/5X5Kd4ULRLE5Rd7p8tmahp,Dark Trap,Allergies
